"nutrient_id"	"amount"	"fdc_id"	"name"	"unit_name"	"NDB_number"	"Food_Name"
1219	2.66	167654	"Valine"	"G"	35184	"Smelt, dried (Alaska Native)"
1220	3.1	167654	"Arginine"	"G"	35184	"Smelt, dried (Alaska Native)"
1221	1.01	167654	"Histidine"	"G"	35184	"Smelt, dried (Alaska Native)"
1223	4.81	167654	"Aspartic acid"	"G"	35184	"Smelt, dried (Alaska Native)"
1227	2.45	167654	"Serine"	"G"	35184	"Smelt, dried (Alaska Native)"
1242	0	167654	"Vitamin E, added"	"MG"	35184	"Smelt, dried (Alaska Native)"
1262	0	167654	"SFA 10:0"	"G"	35184	"Smelt, dried (Alaska Native)"
1265	2.25	167654	"SFA 16:0"	"G"	35184	"Smelt, dried (Alaska Native)"
1266	0.32	167654	"SFA 18:0"	"G"	35184	"Smelt, dried (Alaska Native)"
1267	0	167654	"SFA 20:0"	"G"	35184	"Smelt, dried (Alaska Native)"
1268	3.65	167654	"MUFA 18:1"	"G"	35184	"Smelt, dried (Alaska Native)"
1269	0.19	167654	"PUFA 18:2"	"G"	35184	"Smelt, dried (Alaska Native)"
1270	0.1	167654	"PUFA 18:3"	"G"	35184	"Smelt, dried (Alaska Native)"
1271	0.15	167654	"PUFA 20:4"	"G"	35184	"Smelt, dried (Alaska Native)"
1276	0.13	167654	"PUFA 18:4"	"G"	35184	"Smelt, dried (Alaska Native)"
1277	0.78	167654	"MUFA 20:1"	"G"	35184	"Smelt, dried (Alaska Native)"
1279	0.25	167654	"MUFA 22:1"	"G"	35184	"Smelt, dried (Alaska Native)"
1292	6.86	167654	"Fatty acids, total monounsaturated"	"G"	35184	"Smelt, dried (Alaska Native)"
1293	2.884	167654	"Fatty acids, total polyunsaturated"	"G"	35184	"Smelt, dried (Alaska Native)"
1299	0.06	167654	"SFA 15:0"	"G"	35184	"Smelt, dried (Alaska Native)"
1313	0.02	167654	"PUFA 20:2 n-6 c,c"	"G"	35184	"Smelt, dried (Alaska Native)"
1325	0.007	167654	"PUFA 20:3"	"G"	35184	"Smelt, dried (Alaska Native)"
1410	0.01	167654	NA	NA	35184	"Smelt, dried (Alaska Native)"
1253	249	167654	"Cholesterol"	"MG"	35184	"Smelt, dried (Alaska Native)"
1005	0	167654	"Carbohydrate, by difference"	"G"	35184	"Smelt, dried (Alaska Native)"
1008	386	167654	"Energy"	"KCAL"	35184	"Smelt, dried (Alaska Native)"
1106	139	167654	"Vitamin A, RAE"	"UG"	35184	"Smelt, dried (Alaska Native)"
1062	1614	167654	"Energy"	"kJ"	35184	"Smelt, dried (Alaska Native)"
1120	0	167714	"Cryptoxanthin, beta"	"UG"	43392	"Palm hearts, raw†"
1122	0	167714	"Lycopene"	"UG"	43392	"Palm hearts, raw†"
1185	0	167714	"Vitamin K (phylloquinone)"	"UG"	43392	"Palm hearts, raw†"
1007	1.99	167714	"Ash"	"G"	43392	"Palm hearts, raw†"
1105	0	167714	"Retinol"	"UG"	43392	"Palm hearts, raw†"
1107	41	167714	"Carotene, beta"	"UG"	43392	"Palm hearts, raw†"
1108	0	167714	"Carotene, alpha"	"UG"	43392	"Palm hearts, raw†"
1109	0.5	167714	"Vitamin E (alpha-tocopherol)"	"MG"	43392	"Palm hearts, raw†"
1186	0	167714	"Folic acid"	"UG"	43392	"Palm hearts, raw†"
1057	0	167714	"Caffeine"	"MG"	43392	"Palm hearts, raw†"
1058	0	167714	"Theobromine"	"MG"	43392	"Palm hearts, raw†"
2000	17.16	167714	NA	NA	43392	"Palm hearts, raw†"
1123	0	167714	"Lutein + zeaxanthin"	"UG"	43392	"Palm hearts, raw†"
1110	0	167714	"Vitamin D (D2 + D3), International Units"	"IU"	43392	"Palm hearts, raw†"
1187	24	167714	"Folate, food"	"UG"	43392	"Palm hearts, raw†"
1253	0	167714	"Cholesterol"	"MG"	43392	"Palm hearts, raw†"
1162	8	167714	"Vitamin C, total ascorbic acid"	"MG"	43392	"Palm hearts, raw†"
1165	0.05	167714	"Thiamin"	"MG"	43392	"Palm hearts, raw†"
